run_id,machine,operation,process_name,timestamp,year,month,fault_category,vibration_severity_score,complaint_case_id,x_rms,y_rms,z_rms,x_crest,y_crest,z_crest,x_kurtosis,y_kurtosis
M01_Aug_2019_OP01_000,M01,OP01,Face_Milling,2019-08-21T11:34:00,2019,Aug,tool_wear,3.152,CMP-2019-1000,447.8719787597656,230.6832275390625,1062.7886962890625,5.421192026175758,3.849434609846663,1.61556102920105,7.256074905395508,2.2782022953033447
M01_Feb_2019_OP01_000,M01,OP01,Face_Milling,2019-02-24T13:10:00,2019,Feb,tool_wear,3.3643,CMP-2019-1001,457.5336608886719,179.0984344482422,1061.41064453125,5.149347909012682,4.891165032786236,1.5243864458459018,6.494692802429199,2.9681589603424072
M01_Feb_2019_OP02_000,M01,OP02,Contour_Milling,2019-02-24T21:52:00,2019,Feb,tool_wear,3.4879,CMP-2019-1002,409.1859436035156,400.8043212890625,1061.1561279296875,5.508498117384094,4.752942767366279,1.7631712721202633,8.444509506225586,2.912817478179932
M01_Aug_2019_OP03_000,M01,OP03,Pocket_Milling,2019-08-28T11:04:00,2019,Aug,chatter_vibration,3.9597,CMP-2019-1003,349.61883544921875,233.6495361328125,1058.6370849609375,6.950426446211738,4.926181404211055,1.6275643697703797,11.42540168762207,2.824587821960449
M01_Aug_2019_OP04_000,M01,OP04,Drilling_Cycle,2019-08-28T07:05:00,2019,Aug,spindle_bearing_fault,3.7464,CMP-2019-1004,428.4631958007813,300.1120910644531,1065.8970947265625,5.57574144853924,5.514606206400949,1.8181867739278907,7.398237705230713,3.742976427078247
M01_Feb_2019_OP04_000,M01,OP04,Drilling_Cycle,2019-02-21T19:53:00,2019,Feb,spindle_bearing_fault,4.0301,CMP-2019-1005,441.1546020507813,220.7519073486328,1065.6776123046875,5.1138534869921,6.894617665052878,1.878616925873459,7.168785572052002,3.206451654434204
M01_Aug_2019_OP05_000,M01,OP05,Thread_Tapping,2019-08-13T12:16:00,2019,Aug,spindle_bearing_fault,4.7496,CMP-2019-1006,303.0041809082031,143.24070739746094,1047.249755859375,7.6500594580978785,6.890499341512575,1.4351877301385814,15.542303085327148,4.537558078765869
M01_Feb_2019_OP05_000,M01,OP05,Thread_Tapping,2019-02-02T19:00:00,2019,Feb,spindle_bearing_fault,4.6716,CMP-2019-1007,339.2781982421875,131.4136505126953,1049.0025634765625,6.678884796430267,7.678045591637566,1.4270699158624571,11.701298713684082,4.122063159942627
M01_Feb_2019_OP05_001,M01,OP05,Thread_Tapping,2019-02-17T12:23:00,2019,Feb,spindle_bearing_fault,4.4182,CMP-2019-1008,339.25885009765625,124.14208221435548,1049.7872314453125,6.449352756369304,7.040320126827492,1.4631536315080589,11.650023460388184,4.084396839141846
M01_Feb_2021_OP05_000,M01,OP05,Thread_Tapping,2021-02-14T08:42:00,2021,Feb,spindle_bearing_fault,4.1291,CMP-2021-1009,331.9831682982337,177.7000530857171,1026.6230731545695,6.425024530411859,5.8975784295037705,1.7776728847445509,11.729910892739827,3.632247973502389
